,company_name,sector,publicly_traded,ticker,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
23,Entergy,Investor-Owned Energy Utilities,Yes,ETR,76,75,70,70,69,74,69,74,71,73,75,70,73,74,74,73,76,78,81,76,77,70,74,75,75,72
24,Public Service Enterprise Group,Investor-Owned Energy Utilities,Yes,PEG,80,77,75,74,73,78,75,76,76,73,74,75,73,75,76,78,78,77,74,70,72,68,72,72,72,72
25,DTE Energy,Investor-Owned Energy Utilities,Yes,DTE,78,78,75,74,74,75,74,68,72,71,68,65,70,72,71,72,73,72,78,80,74,72,73,73,72,72
26,Duke Energy,Investor-Owned Energy Utilities,Yes,DUK,80,83,79,78,80,79,79,79,77,78,78,80,79,76,77,76,77,79,75,77,72,70,73,73,70,71
27,FirstEnergy,Investor-Owned Energy Utilities,Yes,FE,,,,,,,72,77,76,69,71,75,76,77,74,75,78,76,75,73,79,69,73,73,72,71
28,National Grid,Investor-Owned Energy Utilities,Yes,NGG, , , , , , , ,73,75,69,72,65,71,71,71,70,NM,NM,NM,NM,NM,71,71,73,71,70
29,Eversource Energy,Investor-Owned Energy Utilities,Yes,ES,70,72,67,65,68,72,76,72,73,68,74,72,69,68,72,74,75,59,73,71,66,65,71,70,68,69
30,American Electric Power,Investor-Owned Energy Utilities,Yes,AEP,80,82,77,78,77,79,76,75,74,75,74,75,73,76,74,73,72,79,75,77,74,70,72,73,68,68
31,PG&E,Investor-Owned Energy Utilities,Yes,PCG,71,72,71,68,71,73,49,58,66,66,67,68,72,70,73,70,67,69,74,70,71,72,74,70,70,63
32,Pepco Holdings,Investor-Owned Energy Utilities,Yes,POM,,,,,,,,,77,72,73,71,70,69,68,70,54,69,71,73,72,69,, , , 
42,Iberdrola,Investor-Owned Energy Utilities,Yes,IBE,,,,,,,73,73,71,70,73,74,70,75,73,72,,,,,,,,, , 
47,Unilever,Personal Care and Cleaning Products,Yes,UL,83,83,82,83,81,85,83,83,85,85,85,85,86,87,87,87,82,86,85,80,80,84,81,82,80,
48,Optimum (Altice USA),Internet Service Providers/Fixed-Line Phone,Yes,ATUS, , , , , , , ,,,,,,,,,,,,,,61,69,68,64,63,
50,Optimum (Altice USA),Fixed-Line Telephone Service,Yes,ATUS,,,,,,,,,,,,,,,,,,,,,67,72,71,69,69,
51,Windstream,Fixed-Line Telephone Service,Yes,WINMQ,,,,,,,,,,,,,,,,,,,,,61,65,65,64,64,
53,Vonage,Fixed-Line Telephone Service,Yes,VG,,,,,,,,,,,,,,,,,,,,,73,78,80,76,77,
55,Spirit,Airlines,Yes,SAVE,,,,,,,,,,,,,,,,,,,,,54,62,61,62,63,
56,Allegiant,Airlines,Yes,ALGT,,,,,,,,,,,,,,,,,,,,,65,65,71,74,71,
57,Alaska,Airlines,Yes,ALK,,,,,,,,,,,,,,,,,,,,,75,77,78,79,80,
59,Mediacom,Internet Service Providers,Yes,MCCC,,,,,,,,,,,,,,,,,,,,,57,57,58,53,56,
61,Mitsubishi Electric & Electronics,Televisions and Video Players,Yes,6503.T,82,83,81,83,,,,,,,,,,,,,,,,,,,,,,
62,Allstate,Property and Casualty Insurance,Yes,ALL,73,74,71,73,73,75,76,74,73,76,76,78,78,79,79,78,78,79,77,77,73,77,78,78,78,
65,Progressive,Property and Casualty Insurance,Yes,PGR,,,,,,,,,,75,75,73,79,79,80,79,79,81,78,76,74,77,78,78,78,
67,Expedia,Internet Travel Services,Yes,EXPE, , , , , , , ,80,78,76,79,78,75,77,79,79,77,76,,76,77,77,80,78,79,
68,Mediacom,Subscription Television Service,Yes,MCCC, , , ,,,,,,,,,,,,,,,,,,51,54,56,55,56,
69,Suddenlink (Altice USA),Subscription Television Service,Yes,ATUS, , , ,,,,,,,,,,,,,,,,,,57,62,63,58,55,
72,Frontier,Airlines,Yes,ULCC,,,,,,,,,,,,,,,,,,,,,58,66,63,62,64,
73,La Quinta (Wyndham),Hotels,Yes,LQ,,,,,,,,,,,,,,,,,,,,,76,75,75,76,74,
74,PetSmart,Specialty Retail Stores,Yes,PETM, , , ,,,,,,,,,,,,,,,,,80,77,78,79,79,78,
76,Bed Bath & Beyond,Specialty Retail Stores,Yes,BBBY, , , ,,,,,,,,,,,,,,,,,81,75,79,80,79,80,
77,Walmart,Health and Personal Care Stores,Yes,WMT, , , ,,,,,,,,,,,,,,,,,68,68,76,75,73,74,
78,Target,Health and Personal Care Stores,Yes,TGT, ,,,,,,,,,,,,,,,,,,,78,80,79,, , ,
79,Kroger,Health and Personal Care Stores,Yes,KR, ,,,,,,,,,,,,,,,,,,,81,81,81,80,81,78,
81,Dollar Tree,Department and Discount Stores,Yes,DLTR,,,,,,,,,,,,,,,,,,,,79,76,80,77,77,77,
82,Audi (Volkswagen),Automobiles and Light Vehicles,Yes,AUDVF,,,,,,,,,,,,,,,,,,,,79,78,83,82,83,82,
83,Domino's,Limited-Service Restaurants,Yes,DPZ,70,68,68,70,67,69,73,75,75,,71,75,75,75,77,77,77,77,81,80,75,78,78,79,79,
86,Big Lots,Department and Discount Stores,Yes,BIG, , , ,,,,,,,,,,,,,,,,,77,74,77,74,75,73,
88,Target,Supermarkets,Yes,TGT,,,,,,,,,,,,,,,,,,,,81,71,78,79,78,79,
96,Texas Roadhouse,Full-Service Restaurants,Yes,TXRH, , , ,,,,,,,,,,,,,,,,,,83,82,82,83,83,
97,GameStop,Specialty Retail Stores,Yes,GME, , , ,,,,,,,,,,,,,,,,,77,78,80,77,74,75,
98,Priceline,Internet Travel Services,Yes,PCLN, , , , , ,66,69,71,71,73,72,72,73,72,76,73,76,74,,75,75,81,77,78,76,
99,CBS Broadcasting,Network/Cable TV News,Yes,CBS,75,,,,,,,,,,,,,,,,,,,,,,,,,
100,Google,Internet Search Engines and Information,Yes,GOOGL, , , , ,,,,80,82,82,82,81,78,86,86,80,83,82,77,83,78,84,82,82,79,
103,BMW,Automobiles and Light Vehicles,Yes,BMWYY,81,81,80,86,86,84,86,86,85,84,86,85,86,87,87,86,83,86,82,80,82,85,82,82,82,
104,Cadillac (GM),Automobiles and Light Vehicles,Yes,GM,84,88,84,88,85,86,88,86,87,83,86,84,86,85,89,86,87,86,85,80,80,79,83,82,81,
105,Chevrolet (GM),Automobiles and Light Vehicles,Yes,GM,79,79,78,79,76,80,78,78,79,77,78,81,82,79,83,80,82,84,79,82,79,83,81,79,80,
108,Ford,Automobiles and Light Vehicles,Yes,F,79,78,77,77,77,77,78,78,80,76,75,77,80,80,83,82,84,83,83,81,79,81,79,77,77,
109,GMC (GM),Automobiles and Light Vehicles,Yes,GM,,,80,78,81,81,79,81,83,80,81,82,82,83,82,84,83,80,85,82,78,84,84,80,78,
110,Honda,Automobiles and Light Vehicles,Yes,HMC,86,83,82,81,83,82,83,82,82,85,86,86,84,86,88,84,85,83,86,83,80,86,81,83,82,
116,Sprint,Wireless Telephone Service,Yes,S, , , , , , , , , ,59,63,63,61,56,63,70,72,71,71,68,65,70,73,70,69,
117,Motorola (Lenovo),Cellular Telephones,Yes,LNVGY, , , , , , , , , ,70,70,71,72,74,72,76,77,73,77,77,79,77,76,79,80,
118,BlackBerry,Cellular Telephones,Yes,BB, , , , , , , , , ,,,,,,,,,69,69,74,78,,,,,
123,NYTimes.com,Internet News and Opinion,Yes,NYT, , , , , , , ,71,70,72,72,72,73,75,73,76,73,74,74,73,76,76,73,75,76,
125,Hyundai,Automobiles and Light Vehicles,Yes,HYMTF,68,69,68,72,68,76,81,78,81,81,84,84,83,83,85,82,83,85,82,81,81,81,83,80,79,
126,Jeep (Fiat Chrysler),Automobiles and Light Vehicles,Yes,FCAU,77,76,74,77,77,75,76,79,79,77,78,77,75,76,79,77,79,83,80,79,75,78,80,80,76,
127,Kia,Automobiles and Light Vehicles,Yes,KIMTF,,,,,,,,,,,,77,78,80,81,80,81,82,82,82,78,79,82,79,76,
131,Buick (GM),Automobiles and Light Vehicles,Yes,GM,84,84,83,84,86,86,86,86,84,83,84,86,86,85,88,88,85,87,82,83,80,79,80,80,79,
133,Sony,Televisions and Video Players,Yes,SNE,84,81,81,82,,,,,,,,,,,,,,,,,,,,,,
136,Clorox,Personal Care and Cleaning Products,Yes,CLX,88,84,83,85,84,85,85,85,86,88,88,86,87,87,88,86,88,87,85,85,82,84,84,85,82,
137,Colgate-Palmolive,Personal Care and Cleaning Products,Yes,CL,86,82,83,82,80,80,85,80,83,82,83,84,81,87,83,85,84,83,85,83,79,83,81,82,82,
138,Henkel,Personal Care and Cleaning Products,Yes,HENKY,85,85,83,81,79,85,84,84,85,85,83,83,86,85,84,83,84,83,84,81,79,85,83,82,77,
140,Emerson Electric,Televisions and Video Players,Yes,EMR,81,80,,,,,,,,,,,,,,,,,,,,,,,,
141,Volvo,Automobiles and Light Vehicles,Yes,VOLV-B,84,84,84,81,80,82,81,82,81,80,81,,,,,,,,,,79,,82,85,82,
142,Lexus (Toyota),Automobiles and Light Vehicles,Yes,TM,,,,,,,,,,,,86,87,87,89,85,87,89,87,84,84,84,86,85,84,
143,Lincoln (Ford),Automobiles and Light Vehicles,Yes,F,84,80,81,83,82,85,82,84,81,86,83,83,86,83,88,89,86,90,,,83,87,83,84,82,
144,Mazda,Automobiles and Light Vehicles,Yes,MZDAY,77,75,74,77,76,78,78,81,82,78,80,79,78,80,81,80,79,82,82,80,80,80,82,80,77,
145,Mercedes-Benz,Automobiles and Light Vehicles,Yes,DDAIF,86,87,87,86,86,87,86,83,83,80,80,82,83,82,86,86,86,85,88,86,83,81,84,82,83,
146,Nissan,Automobiles and Light Vehicles,Yes,NSANY,82,80,79,77,79,78,80,80,79,81,78,82,80,82,78,82,84,83,83,81,77,80,80,80,75,
150,Subaru,Automobiles and Light Vehicles,Yes,FUJHY,79,83,79,83,,,,,,,,,,,,,,87,86,85,82,84,85,84,82,
151,Toyota,Automobiles and Light Vehicles,Yes,TM,84,84,84,85,83,82,83,83,85,84,87,87,84,86,86,84,87,85,86,83,82,85,86,83,81,
152,Volkswagen,Automobiles and Light Vehicles,Yes,VOW3,76,76,79,78,82,83,81,82,76,80,78,78,80,81,86,81,84,85,84,84,80,78,79,82,77,
153,HuffPost (Verizon),Internet News and Opinion,Yes,VZ, , , , , , , ,,,,,,,,,,69,69,69,70,71,72,67,70,70,
158,DISH Network,Video-on-Demand Service,Yes,DISH,,, , , , , , , , , , , , , , , , , , , , , ,73,71,
160,DIRECTV (AT&T),Video-on-Demand Service,Yes,T,,, , , , , , , , , , , , , , , , , , , , , ,70,70,
163,Xfinity (Comcast),Video-on-Demand Service,Yes,CMCSA,,, , , , , , , , , , , , , , , , , , , , , ,67,66,
164,Spectrum (Charter),Video-on-Demand Service,Yes,CHTR,,, , , , , , , , , , , , , , , , , , , , , ,64,64,
165,Netflix,Video Streaming Service,Yes,NFLX,,, , , , , , , , , , , , , , , , , , , , , ,78,79,
167,Twitch (Amazon),Video Streaming Service,Yes,AMZN,,, , , , , , , , , , , , , , , , , , , , , ,78,75,
169,Microsoft Store,Video Streaming Service,Yes,MSFT,,, , , , , , , , , , , , , , , , , , , , , ,77,77,
170,YouTube (Google),Video Streaming Service,Yes,GOOGL,,, , , , , , , , , , , , , , , , , , , , , ,76,75,
171,Amazon Prime Video,Video Streaming Service,Yes,AMZN,,, , , , , , , , , , , , , , , , , , , , , ,75,76,
172,Netflix,Internet Retail,Yes,NFLX,,, , , ,,,,,,,,84,85,87,86,74,75,79,81,76,79,,,,
176,Charles Schwab,Financial Advisors,Yes,SCHW, , , , , ,,,,,,,,,,,,,,,,, ,82,82,82,
177,LPL Financial,Financial Advisors,Yes,LPLA, , , , , ,,,,,,,,,,,,,,,,, ,82,78,78,
178,Morgan Stanley,Financial Advisors,Yes,MS, , , , , , , , , , , , , , , , , , , , , , ,81,79,79,
179,Raymond James,Financial Advisors,Yes,RJF, , , , , , , , , , , , , , , , , , , , , , ,81,81,80,
180,Wells Fargo,Financial Advisors,Yes,WFC, , , , , , , , , , , , , , , , , , , , , , ,80,79,79,
182,Merrill (Bank of America),Financial Advisors,Yes,BAC, , , , , , , , , , , , , , , , , , , , , , ,79,79,77,
183,UBS,Financial Advisors,Yes,UBS, , , ,,,,,,,,,,,,,,,,,,,,79,80,80,
185,O'Reilly Auto Parts,Specialty Retail Stores,Yes,ORLY, , , ,,,,,,,,,,,,,,,,,,,,81,80,78,
186,Foot Locker,Specialty Retail Stores,Yes,FL,,,,,,,,,,,,,,,,,,,,,,,78,78,79,
189,Costco,Supermarkets,Yes,COST,,,,,,,,,,,,,,,,,,,,,,,83,83,83,
190,Sam's Club (Walmart),Supermarkets,Yes,WMT,,,,,,,,,,,,,,,,,,,,,,,82,80,80,
194,Home Depot,Internet Retail,Yes,HD, , , ,,,,,,,,,,,,,,,,,,,,,79,78,
195,Lowe's,Internet Retail,Yes,LOW, , , ,,,,,,,,,,,,,,,,,,,,,79,78,
196,Gap,Internet Retail,Yes,GPS, , , ,,,,,,,,,,,,,,,,,,,,,78,78,
197,Best Buy,Internet Retail,Yes,BBY, , , ,,,,,,,,,,,,,,,,,,,,,77,78,
198,Groupon Goods,Internet Retail,Yes,GRPN, , , ,,,,,,,,,,,,,,,,,,,,,76,77,
199,Staples,Internet Retail,Yes,SPLS, , , ,,,,,,,,,,,,,,,,,,,,,76,77,
200,Walgreens,Internet Retail,Yes,WBA, , , ,,,,,,,,,,,,,,,,,,,,,76,75,
201,GameStop,Internet Retail,Yes,GME, , , ,,,,,,,,,,,,,,,,,,,,,75,76,
202,Walmart,Internet Retail,Yes,WMT, , , ,,,,,,,,,,,,,,,,,,,,,74,74,
204,Ulta Beauty,Specialty Retail Stores,Yes,ULTA, , , ,,,,,,,,,,,,,,,,,,,,,80,80,
206,TripAdvisor,Internet Travel Services,Yes,TRIP, , , ,,,,,,,,,,,,,,,,,,,,,,82,
207,Frontier Communications,Video-on-Demand Service,Yes,FTR, , , ,,,,,,,,,,,,,,,,,,,,,,67,
209,Snapchat,Internet Social Media,Yes,SNAP, , , ,,,,,,,,,,,,,,,,,,,,,,71,
210,Dell,Internet Retail,Yes,DELL, , , ,,,,,,,,,,,,,,,,,,,,,79,78,
211,Wayfair,Internet Retail,Yes,W, , , ,,,,,,,,,,,,,,,,,,,,,80,80,
212,Target,Internet Retail,Yes,TGT, , , ,,,,,,,,,,,,,,,,,,,,,80,78,
220,Ram (Fiat Chrysler),Automobiles and Light Vehicles,Yes,RAM,,,,,,,,,,,,,,,,,,,,,,,,80,80,
221,Costco,Internet Retail,Yes,COST, , , , , ,,,,,,,,,,,,,,,,,,,83,81,
222,Etsy,Internet Retail,Yes,ETSY, , , , , ,,,,,,,,,,,,,,,,,,,81,82,
223,Kohl's,Internet Retail,Yes,KSS, , , , , ,,,,,,,,,,,,,,,,,,,81,81,
224,Nike,Internet Retail,Yes,NKE, , , , , ,,,,,,,,,,,,,,,,,,,81,81,
225,Nordstrom,Internet Retail,Yes,JWN, , , , , ,,,,,,,,,,,,,,,,,,,81,82,
226,Apple,Internet Retail,Yes,AAPL, , , , , ,,,,,,,,,,,,,,,,,,,80,78,
227,HP Store,Internet Retail,Yes,HPQ, , , , , ,,,,,,,,,,,,,,,,,,,80,81,
228,Macy's,Internet Retail,Yes,M, , , , , ,,,,,,,,,,,,,,,,,,,80,80,
229,TD Ameritrade,Financial Advisors,Yes,AMTD, , , ,,,,,,,,,,,,,,,,,,,,,,77,
231,LG,Household Appliances,Yes,066570.KS,,,,,,,,,,,,,,,,,,,,,82,85,83,82,82,
233,Amazon,Personal Computers and Internet Retail,Yes,AMZN,,,,,,,,,,,,,,,,,,,,,78,80,79,82,79,
234,Samsung,Personal Computers and Household Appliances,Yes,005930.KS,,,,,,,,,,,,,,,,,,,,,78,83,82,82,81,
235,ASUS,Personal Computers,Yes,2357.TW,,,,,,,,,,,,,,,,,,,,,77,78,80,78,76,
236,Lenovo,Personal Computers,Yes,0992.HK,,,,,,,,,,,,,,,,,,,,,74,76,76,77,74,
237,Regions Bank,Banks,Yes,RF,,,,,,,,,,,,,,,,,,,,,79,78,81,79,78,
238,BB&T,Banks,Yes,BBT,,,,,,,,,,,,,,,,,,,,,77,82,80,79,80,
239,Capital One,Banks,Yes,COF,,,,,,,,,,,,,,,,,,,,,77,80,80,81,79,
240,U.S. Bank,Banks,Yes,USB,,,,,,,,,,,,,,,,,,,,,76,77,80,79,79,
241,Fifth Third Bank,Banks,Yes,FITB,,,,,,,,,,,,,,,,,,,,,75,81,76,75,78,
242,TD Bank,Banks,Yes,TD,,,,,,,,,,,,,,,,,,,,,75,79,80,80,77,
243,SunTrust Bank,Banks,Yes,STI,,,,,,,,,,,,,,,,,,,,,74,80,80,81,76,
244,Citizens Bank,Banks,Yes,CFG,,,,,,,,,,,,,,,,,,,,,70,80,77,78,78,
245,Humana,Health Insurance,Yes,HUM,,,,,,,,,,,,,,,,,,,,,71,72,79,78,79,
247,Samsung,Household Appliances,Yes,005930.KS,,,,,,,,,,,,,,,,,,,,,81,84,78,80,80,
248,Fiat (Fiat Chrysler),Automobiles and Light Vehicles,Yes,FCAU,,,,,,,,,,,,,,,,,,,,,73,,75,78,77,
250,Cracker Barrel,Full-Service Restaurants,Yes,CBRL, , , ,,,,,,,,,,,,,,,,,,80,83,84,81,82,
251,Red Robin,Full-Service Restaurants,Yes,RRGB, , , ,,,,,,,,,,,,,,,,,,77,80,73,79,79,
253,Denny's,Full-Service Restaurants,Yes,DENN, , , ,,,,,,,,,,,,,,,,,,75,74,76,77,77,
256,Chipotle Mexican Grill,Limited-Service Restaurants,Yes,CMG,,,,,,,,,,,,,,,,,,,,,83,78,79,79,80,
257,Panera Bread,Limited-Service Restaurants,Yes,PNRA (previously),,,,,,,,,,,,,,,,,,,,,80,81,82,81,81,
259,Jack in the Box,Limited-Service Restaurants,Yes,JACK,,,,,,,,,,,,,,,,,,,,,72,74,75,74,75,
262,Instagram (Facebook),Internet Social Media,Yes,FB,,,,,,,,,,,,,,,,,,,,,76,74,75,72,72,
264,Infiniti (Nissan),Automobiles and Light Vehicles,Yes,7201.T,,,,,,,,,,,,,,,,,,,,,77,84,,78,82,
265,Mitsubishi,Automobiles and Light Vehicles,Yes,7211.T,,,,,,,,,,,,,,,,,,,,,77,79,78,79,76,
266,Cigna,Health Insurance,Yes,CI,,,,,,,,,,,,,,,,,,,,,60,67,66,73,72,
268,Primerica,Life Insurance,Yes,PRI,,,,,,,,,,,,,,,,,,,,,81,75,74,78,,
269,Albertsons Companies,Health and Personal Care Stores,Yes,ACI,,,,,,,,,,,,,,,,,,,,,69,83,78,78,75,
270,Petco,Specialty Retail Stores,Yes,WOOF,,,,,,,,,,,,,,,,,,,,,76,78,77,78,77,
271,Burlington,Specialty Retail Stores,Yes,BURL, , , ,,,,,,,,,,,,,,,,,,76,79,77,76,76,
272,L Brands,Specialty Retail Stores,Yes,LB, , , , , ,,,,,,,,,,,,,,,83,81,81,85,82,82,
273,AutoZone,Specialty Retail Stores,Yes,AZO, , , , , ,,,,,,,,,,,,,,,,75,80,78,78,77,
274,Advance Auto Parts,Specialty Retail Stores,Yes,AAP, , , , , ,,,,,,,,,,,,,,,,72,79,79,78,78,
275,Abercrombie & Fitch,Specialty Retail Stores,Yes,ANF,,,,,,,,,,,,,,,,,,,,,65,76,79,78,79,
278,Windstream,Internet Service Providers,Yes,WINMQ,,,,,,,,,,,,,,,,,,,,,,59,57,56,57,
280,U.S. Cellular,Wireless Telephone Service,Yes,USM,,,,,,,,,,,,,,,,,,,,,,72,74,74,74,
281,Johnson & Johnson,Personal Care and Cleaning Products,Yes,JNJ,,,,,,,,,,,,,,,,,,,,,,82,81,82,77,
283,Dick's Sporting Goods,Specialty Retail Stores,Yes,DKS,,,,,,,,,,,,,,,,,,,,,,79,78,75,76,
284,Ahold Delhaize,Supermarkets,Yes,AD,,,,, , , , , , , , , , , , , , , , , ,76,79,78,77,
286,Ross Stores,Department and Discount Stores,Yes,ROST,,,,,,,,,,,,,,,,,,,,,74,76,76,77,76,
288,Allstate,Life Insurance,Yes,ALL,,,,,,,,,,,,,,,,,,,,,77,82,79,75,81,
291,Lincoln Financial,Life Insurance,Yes,LNC,,,,,,,,,,,,,,,,,,,,,75,76,76,78,78,
292,Farmers,Life Insurance,Yes,FMNB,,,,,,,,,,,,,,,,,,,,,71,80,77,74,81,
295,Nationwide,Property and Casualty Insurance,Yes,NFS,,,,,,,,,,,,,,,,,,,,,75,79,76,80,,
298,Travelers,Property and Casualty Insurance,Yes,TRV,,,,,,,,,,,,,,,,,,,,,73,77,80,78,,
300,Scottrade (TD Ameritrade),Internet Investment Services,Yes,AMTD,,,,,,,,,,,,,,,,,,,,,79,83,77,, ,
302,Merrill Edge (Bank of America),Internet Investment Services,Yes,BAC,,,,,,,,,,,,,,,,,,,,,73,79,77,79,74,
304,Verizon Communications,Fixed-Line Telephone Service,Yes,VZ, ,,,, , ,73,71,73,73,70,69,72,70,71,73,71,70,74,73,68,72,73,72,73,
307,DIRECTV (AT&T),Subscription Television Service,Yes,T, , , , , , ,70,70,72,71,67,71,67,68,71,68,69,68,72,69,68,68,68,64,66,
308,DISH Network,Subscription Television Service,Yes,DISH, , , , , , ,71,68,71,71,68,68,67,65,64,71,67,69,70,67,67,67,67,67,67,
309,Time Warner Cable (Charter Communications),Subscription Television Service,Yes,CHTR, , , , , , ,63,61,61,60,61,61,58,59,59,61,59,63,60,56,51,59,60,, ,
311,AT&T,Wireless Telephone Service,Yes,T, , , , , , , , , ,63,62,63,68,71,67,69,66,69,70,68,70,71,72,74,74,
314,T-Mobile,Wireless Telephone Service,Yes,TMUS, , , , , , , , , ,,64,69,70,71,71,73,70,69,68,69,70,74,73,76,76,
316,Kyocera,Cellular Telephones,Yes,6971.T, , , , , , , , , ,70,,,,,,,,,,,,,,,,
318,Samsung,Cellular Telephones,Yes,005930.KS,,,, , , , , , ,73,71,73,70,71,70,76,74,71,76,81,80,80,80,80,81,
321,Spectrum (Charter Communications),Subscription Television Service,Yes,CHTR, ,,, , , ,63,53,55,56,56,55,55,54,51,60,59,59,64,60,63,60,63,58,59,
322,Universal Studios,Motion Pictures,Yes,CMCSA,74,,,,,,,,,,,,,,,,,,,,,,,,,
323,Walt Disney,Motion Pictures,Yes,DIS,80,,,,,,,,,,,,,,,,,,,,,,,,,
327,AT&T,Fixed-Line Telephone Service,Yes,T,83,83,80,81,79,75,73,73,76,76,72,71,70,75,71,75,71,70,73,72,65,70,71,72,72,
329,Gannett,Newspapers,Yes,GCI,66,,,,,,,,,,,,,,,,,,,,,,,,,
331,New York Times,Newspapers,Yes,NYT,70,,,,,,,,,,,,,,,,,,,,,,,,,
334,U-verse TV (AT&T),Subscription Television,Yes,T, ,,, , , ,,,,,,,,,,72,68,68,71,69,69,69,70,70,69,
337,Olive Garden (Darden),Full-Service Restaurants,Yes,DRI, , , , , , , , , , , , ,80,82,81,84,82,80,83,80,79,81,81,80,79,
338,McDonald's,Limited-Service Restaurants,Yes,MCD,63,60,60,61,61,59,62,61,64,,62,63,64,69,70,67,72,73,73,71,67,69,69,69,69,
339,Papa John's,Limited-Service Restaurants,Yes,PZZA,,,,,76,77,78,76,76,,78,79,77,76,75,80,79,83,82,82,78,82,82,80,80,
340,Pizza Hut (Yum! Brands),Limited-Service Restaurants,Yes,YUM,66,63,71,71,68,70,71,70,75,,71,76,72,76,74,78,81,78,80,82,78,77,76,80,80,
341,Starbucks,Limited-Service Restaurants,Yes,SBUX,,,,,,,,,,,,77,78,77,76,78,80,76,80,76,74,75,77,78,79,
342,Taco Bell (Yum! Brands),Limited-Service Restaurants,Yes,YUM,66,66,67,64,64,63,66,67,68,,72,70,69,70,73,74,76,77,74,72,72,75,76,74,75,
343,Wendy's,Limited-Service Restaurants,Yes,WEN,73,71,69,73,71,70,72,74,74,,75,76,78,73,76,77,77,78,79,78,73,76,76,77,77,
344,American,Airlines,Yes,AAL,71,71,62,67,64,63,62,63,67,66,64,62,60,62,60,63,63,64,65,66,66,72,76,74,73,
346,Delta,Airlines,Yes,DAL,72,67,69,65,68,66,61,66,67,67,65,64,59,60,64,62,56,65,68,71,71,71,76,74,75,
348,Southwest,Airlines,Yes,LUV,76,76,76,74,72,70,70,74,75,73,74,74,76,79,81,79,81,77,81,78,78,80,80,80,79,
349,United,Airlines,Yes,UAL,67,70,68,65,62,62,59,64,63,64,61,63,56,56,56,60,61,62,62,60,60,68,70,67,70,
351,Facebook,Internet Social Media,Yes,FB, , , , , , , , , , , , , , , ,64,66,61,62,67,75,68,68,67,63,
353,KFC (Yum! Brands),Limited-Service Restaurants,Yes,YUM,68,69,67,64,64,65,63,69,71,,69,70,71,70,69,75,75,75,81,74,73,78,78,77,78,
354,Outback Steakhouse,Full-Service Restaurants,Yes,BLMN, , , , , , , , , , , , ,79,76,77,80,81,81,81,80,78,77,80,79,79,
